Car,MPG,Cylinder,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Chevrolet Impala,13,8,350.0,165,4274,12.0,72,US
Pontiac Catalina,14,8,400.0,175,4385,12.0,72,US
Plymouth Fury III,15,8,318.0,150,4135,13.5,72,US
Ford Galaxie 500,14,8,351.0,153,4129,13.0,72,US
AMC Ambassador SST,17,8,304.0,150,3672,11.5,72,US
Mercury Marquis,11,8,429.0,208,4633,11.0,72,US
Buick LeSabre Custom,13,8,350.0,155,4502,13.5,72,US
Oldsmobile Delta 88 Royale,12,8,350.0,160,4456,13.5,72,US
Chrysler Newport Royal,13,8,400.0,190,4422,12.5,72,US
Mazda RX2 Coupe,19,3,70.0,97,2330,13.5,72,Japan
AMC Matador (sw),15,8,304.0,150,3892,12.5,72,US
Chevrolet Chevelle Concours (sw),13,8,307.0,130,4098,14.0,72,US
Ford Gran Torino (sw),13,8,302.0,140,4294,16.0,72,US
Plymouth Satellite Custom (sw),14,8,318.0,150,4077,14.0,72,US
Volvo 145e (sw),18,4,121.0,112,2933,14.5,72,Europe
Volkswagen 411 (sw),22,4,121.0,76,2511,18.0,72,Europe
Peugeot 504 (sw),21,4,120.0,87,2979,19.5,72,Europe
Renault 12 (sw),26,4,96.0,69,2189,18.0,72,Europe
Ford Pinto (sw),22,4,122.0,86,2395,16.0,72,usa
Datsun 510 (sw),28,4,97.0,92,2288,17.0,72,Japan
Toyota Corolla Mark II (sw),23,4,120.0,97,2506,14.5,72,Japan
Dodge Colt (sw),28,4,98.0,80,2164,15.0,72,US
Toyota Corolla 1600 (sw),27,4,97.0,88,2100,16.5,72,Japan
Buick Century 350,13,8,350.0,175,4100,13.0,73,US
AMC Matador,14,8,304.0,150,3672,11.5,73,US
Chevrolet Malibu,13,8,350.0,145,3988,13.0,73,US
Ford Gran Torino,14,8,302.0,137,4042,14.5,73,US
Dodge Coronet Custom,15,8,318.0,150,3777,12.5,73,US
Mercury Marquis Brougham,12,8,429.0,198,4952,11.5,73,US
Chevrolet Caprice Classic,13,8,400.0,150,4464,12.0,73,US
Ford LTD,13,8,351.0,158,4363,13.0,73,US
Plymouth Fury Gran Sedan,14,8,318.0,150,4237,14.5,73,US
Chrysler New Yorker Brougham,13,8,440.0,215,4735,11.0,73,US
Buick Electra 225 Custom,12,8,455.0,225,4951,11.0,73,US
AMC Ambassador Brougham,13,8,360.0,175,3821,11.0,73,US
Plymouth Valiant,18,6,225.0,105,3121,16.5,73,US
Chevrolet Nova Custom,16,6,250.0,100,3278,18.0,73,US
AMC Hornet,18,6,232.0,100,2945,16.0,73,US
Ford Maverick,18,6,250.0,88,3021,16.5,73,US
Plymouth Duster,23,6,198.0,95,2904,16.0,73,US
Volkswagen Super Beetle,26,4,97.0,46,1950,21.0,73,Europe
Chevrolet Impala,11,8,400.0,150,4997,14.0,73,US
Ford Country,12,8,400.0,167,4906,12.5,73,US
Plymouth Custom Suburb,13,8,360.0,170,4654,13.0,73,US
Oldsmobile Vista Cruiser,12,8,350.0,180,4499,12.5,73,US
AMC Gremlin,18,6,232.0,100,2789,15.0,73,US
Toyota Camry,20,4,97.0,88,2279,19.0,73,Japan
Chevrolet Vega,21,4,140.0,72,2401,19.5,73,US
Datsun 610,22,4,108.0,94,2379,16.5,73,Japan
Mazda RX3,18,3,70.0,90,2124,13.5,73,japan
Ford Pinto,19,4,122.0,85,2310,18.5,73,US
Mercury Capri v6,21,6,155.0,107,2472,14.0,73,US
Fiat 124 Sport Coupe,26,4,98.0,90,2265,15.5,73,Europe
Chevrolet Monte Carlo S,15,8,350.0,145,4082,13.0,73,US
Pontiac Grand Prix,16,8,400.0,230,4278,9.5,73,US
Fiat 128,29,4,68.0,49,1867,19.5,73,Europe
Opel Manta,24,4,116.0,75,2158,15.5,73,Europe
Audi 100LS,20,4,114.0,91,2582,14.0,73,Europe
Volvo 144ea,19,4,121.0,112,2868,15.5,73,Europe
Dodge Dart Custom,15,8,318.0,150,3399,11.0,73,US
Saab 99le,24,4,121.0,110,2660,14.0,73,Europe
Toyota Mark II,20,6,156.0,122,2807,13.5,73,Japan
Oldsmobile Omega,11,8,350.0,180,3664,11.0,73,US
Plymouth Duster,20,6,198.0,95,3102,16.5,74,US
Ford Maverick,21,6,200.0,0,2875,17.0,74,US
AMC Hornet,19,6,232.0,100,2901,16.0,74,US
Chevrolet Nova,15,6,250.0,100,3336,17.0,74,US
